measure,count,table,date
Total Individuals,47500,combined_total_shelter_census,2022-05-05
Children,14863,families_with_children,2022-05-04
Adults,11462,families_with_children,2022-05-04
Total Single Adults,16541,total_single_adults,2022-05-04
Individuals (Adults),2912,adult_families_census,2022-05-04
Safe Haven Utilization,1468,single_adults,2022-05-04
Drop-in Center Overnight Census,150,single_adults,2022-05-04
Faith Bed Census,28,single_adults,2022-05-04
Veterans In Short-term Housing,166,single_adults,2022-05-04
Criminal Justice Short-term Housing,90,single_adults,2022-05-04
Single Adults,18353,combined_total_single_adults,2022-05-04
Total Individuals,47590,combined_total_shelter_census,2022-05-04
Children,14811,families_with_children,2022-05-03
Adults,11420,families_with_children,2022-05-03
Total Single Adults,16503,total_single_adults,2022-05-03
Individuals (Adults),2918,adult_families_census,2022-05-03
Safe Haven Utilization,1476,single_adults,2022-05-03
Drop-in Center Overnight Census,191,single_adults,2022-05-03
Faith Bed Census,21,single_adults,2022-05-03
Veterans In Short-term Housing,180,single_adults,2022-05-03
Criminal Justice Short-term Housing,90,single_adults,2022-05-03
Single Adults,18371,combined_total_single_adults,2022-05-03
Total Individuals,47520,combined_total_shelter_census,2022-05-03
Children,14731,families_with_children,2022-05-02
Adults,11367,families_with_children,2022-05-02
Total Single Adults,16532,total_single_adults,2022-05-02
Individuals (Adults),2946,adult_families_census,2022-05-02
Safe Haven Utilization,1469,single_adults,2022-05-02
Drop-in Center Overnight Census,175,single_adults,2022-05-02
Faith Bed Census,31,single_adults,2022-05-02
Veterans In Short-term Housing,170,single_adults,2022-05-02
Criminal Justice Short-term Housing,84,single_adults,2022-05-02
Single Adults,18377,combined_total_single_adults,2022-05-02
Total Individuals,47421,combined_total_shelter_census,2022-05-02
Children,14765,families_with_children,2022-05-01
Adults,11413,families_with_children,2022-05-01
Total Single Adults,16388,total_single_adults,2022-05-01
Individuals (Adults),2936,adult_families_census,2022-05-01
Safe Haven Utilization,1462,single_adults,2022-05-01
Drop-in Center Overnight Census,167,single_adults,2022-05-01
Faith Bed Census,24,single_adults,2022-05-01
Veterans In Short-term Housing,173,single_adults,2022-05-01
Criminal Justice Short-term Housing,80,single_adults,2022-05-01
Single Adults,18214,combined_total_single_adults,2022-05-01
Total Individuals,47328,combined_total_shelter_census,2022-05-01
Children,14831,families_with_children,2022-04-28
Adults,11429,families_with_children,2022-04-28
Total Single Adults,16573,total_single_adults,2022-04-28
Individuals (Adults),2941,adult_families_census,2022-04-28
Safe Haven Utilization,1455,single_adults,2022-04-28
Drop-in Center Overnight Census,146,single_adults,2022-04-28
Faith Bed Census,22,single_adults,2022-04-28
Veterans In Short-term Housing,186,single_adults,2022-04-28
Criminal Justice Short-term Housing,85,single_adults,2022-04-28
Single Adults,18382,combined_total_single_adults,2022-04-28
Total Individuals,47583,combined_total_shelter_census,2022-04-28
Children,14823,families_with_children,2022-04-27
Adults,11407,families_with_children,2022-04-27
Total Single Adults,16590,total_single_adults,2022-04-27
Individuals (Adults),2930,adult_families_census,2022-04-27
Safe Haven Utilization,1433,single_adults,2022-04-27
Drop-in Center Overnight Census,166,single_adults,2022-04-27
Faith Bed Census,35,single_adults,2022-04-27
Veterans In Short-term Housing,180,single_adults,2022-04-27
Criminal Justice Short-term Housing,86,single_adults,2022-04-27
Single Adults,18404,combined_total_single_adults,2022-04-27
Total Individuals,47564,combined_total_shelter_census,2022-04-27
Children,14820,families_with_children,2022-04-26
Adults,11387,families_with_children,2022-04-26
Total Single Adults,16492,total_single_adults,2022-04-26
Individuals (Adults),2930,adult_families_census,2022-04-26
Safe Haven Utilization,1429,single_adults,2022-04-26
Drop-in Center Overnight Census,165,single_adults,2022-04-26
Faith Bed Census,21,single_adults,2022-04-26
Veterans In Short-term Housing,172,single_adults,2022-04-26
Criminal Justice Short-term Housing,88,single_adults,2022-04-26
Single Adults,18279,combined_total_single_adults,2022-04-26
Total Individuals,47416,combined_total_shelter_census,2022-04-26
Children,14822,families_with_children,2022-04-25
Adults,11386,families_with_children,2022-04-25
Total Single Adults,16555,total_single_adults,2022-04-25
Individuals (Adults),2941,adult_families_census,2022-04-25
Safe Haven Utilization,1428,single_adults,2022-04-25
Drop-in Center Overnight Census,149,single_adults,2022-04-25
Faith Bed Census,34,single_adults,2022-04-25
Veterans In Short-term Housing,170,single_adults,2022-04-25
Criminal Justice Short-term Housing,88,single_adults,2022-04-25
Single Adults,18336,combined_total_single_adults,2022-04-25
Total Individuals,47485,combined_total_shelter_census,2022-04-25
Children,14765,families_with_children,2022-04-24
Adults,11337,families_with_children,2022-04-24
Total Single Adults,16409,total_single_adults,2022-04-24
Individuals (Adults),2928,adult_families_census,2022-04-24
Safe Haven Utilization,1412,single_adults,2022-04-24
Drop-in Center Overnight Census,174,single_adults,2022-04-24
Faith Bed Census,30,single_adults,2022-04-24
Veterans In Short-term Housing,158,single_adults,2022-04-24
Criminal Justice Short-term Housing,83,single_adults,2022-04-24
Single Adults,18183,combined_total_single_adults,2022-04-24
Total Individuals,47213,combined_total_shelter_census,2022-04-24
Children,14678,families_with_children,2022-04-20
Adults,11253,families_with_children,2022-04-20
Total Single Adults,16572,total_single_adults,2022-04-20
Individuals (Adults),2912,adult_families_census,2022-04-20
Safe Haven Utilization,1407,single_adults,2022-04-20
Drop-in Center Overnight Census,180,single_adults,2022-04-20
Faith Bed Census,34,single_adults,2022-04-20
Veterans In Short-term Housing,184,single_adults,2022-04-20
Criminal Justice Short-term Housing,87,single_adults,2022-04-20
Single Adults,18377,combined_total_single_adults,2022-04-20
Total Individuals,47220,combined_total_shelter_census,2022-04-20
Children,14643,families_with_children,2022-04-19
Adults,11219,families_with_children,2022-04-19
Total Single Adults,16575,total_single_adults,2022-04-19
Individuals (Adults),2911,adult_families_census,2022-04-19
Safe Haven Utilization,1410,single_adults,2022-04-19
Drop-in Center Overnight Census,170,single_adults,2022-04-19
Faith Bed Census,24,single_adults,2022-04-19
Veterans In Short-term Housing,182,single_adults,2022-04-19
Criminal Justice Short-term Housing,88,single_adults,2022-04-19
Single Adults,18361,combined_total_single_adults,2022-04-19
Total Individuals,47134,combined_total_shelter_census,2022-04-19
Children,14574,families_with_children,2022-04-18
Adults,11160,families_with_children,2022-04-18
Total Single Adults,16592,total_single_adults,2022-04-18
Individuals (Adults),2913,adult_families_census,2022-04-18
Safe Haven Utilization,1405,single_adults,2022-04-18
Drop-in Center Overnight Census,147,single_adults,2022-04-18
Faith Bed Census,31,single_adults,2022-04-18
Veterans In Short-term Housing,176,single_adults,2022-04-18
Criminal Justice Short-term Housing,83,single_adults,2022-04-18
Single Adults,18351,combined_total_single_adults,2022-04-18
Total Individuals,46998,combined_total_shelter_census,2022-04-18
Children,14574,families_with_children,2022-04-17
Adults,11146,families_with_children,2022-04-17
Total Single Adults,16449,total_single_adults,2022-04-17
Individuals (Adults),2915,adult_families_census,2022-04-17
Safe Haven Utilization,1397,single_adults,2022-04-17
Drop-in Center Overnight Census,126,single_adults,2022-04-17
Faith Bed Census,8,single_adults,2022-04-17
Veterans In Short-term Housing,172,single_adults,2022-04-17
Criminal Justice Short-term Housing,75,single_adults,2022-04-17
Single Adults,18152,combined_total_single_adults,2022-04-17
Total Individuals,46787,combined_total_shelter_census,2022-04-17
Children,14604,families_with_children,2022-04-14
Adults,11188,families_with_children,2022-04-14
Total Single Adults,16515,total_single_adults,2022-04-14
Individuals (Adults),2922,adult_families_census,2022-04-14
Safe Haven Utilization,1395,single_adults,2022-04-14
Drop-in Center Overnight Census,152,single_adults,2022-04-14
Faith Bed Census,27,single_adults,2022-04-14
Veterans In Short-term Housing,179,single_adults,2022-04-14
Criminal Justice Short-term Housing,85,single_adults,2022-04-14
Single Adults,18268,combined_total_single_adults,2022-04-14
Total Individuals,46982,combined_total_shelter_census,2022-04-14
Children,14679,families_with_children,2022-04-13
Adults,11236,families_with_children,2022-04-13
Total Single Adults,16540,total_single_adults,2022-04-13
Individuals (Adults),2917,adult_families_census,2022-04-13
Safe Haven Utilization,1392,single_adults,2022-04-13
Drop-in Center Overnight Census,88,single_adults,2022-04-13
Faith Bed Census,36,single_adults,2022-04-13
Veterans In Short-term Housing,172,single_adults,2022-04-13
Criminal Justice Short-term Housing,86,single_adults,2022-04-13
Single Adults,18228,combined_total_single_adults,2022-04-13
Total Individuals,47060,combined_total_shelter_census,2022-04-13
Children,14740,families_with_children,2022-04-12
Adults,11289,families_with_children,2022-04-12
Total Single Adults,16528,total_single_adults,2022-04-12
Individuals (Adults),2925,adult_families_census,2022-04-12
Safe Haven Utilization,1395,single_adults,2022-04-12
Drop-in Center Overnight Census,145,single_adults,2022-04-12
Faith Bed Census,26,single_adults,2022-04-12
Veterans In Short-term Housing,174,single_adults,2022-04-12
Criminal Justice Short-term Housing,88,single_adults,2022-04-12
Single Adults,18268,combined_total_single_adults,2022-04-12
Total Individuals,47222,combined_total_shelter_census,2022-04-12
Children,14686,families_with_children,2022-04-10
Adults,11243,families_with_children,2022-04-10
Total Single Adults,16616,total_single_adults,2022-04-10
Individuals (Adults),2941,adult_families_census,2022-04-10
Safe Haven Utilization,1388,single_adults,2022-04-10
Drop-in Center Overnight Census,161,single_adults,2022-04-10
Faith Bed Census,30,single_adults,2022-04-10
Veterans In Short-term Housing,151,single_adults,2022-04-10
Criminal Justice Short-term Housing,87,single_adults,2022-04-10
Single Adults,18346,combined_total_single_adults,2022-04-10
Total Individuals,47216,combined_total_shelter_census,2022-04-10
Children,14669,families_with_children,2022-04-07
Adults,11243,families_with_children,2022-04-07
Total Single Adults,16610,total_single_adults,2022-04-07
Individuals (Adults),2939,adult_families_census,2022-04-07
Safe Haven Utilization,1380,single_adults,2022-04-07
Drop-in Center Overnight Census,154,single_adults,2022-04-07
Faith Bed Census,27,single_adults,2022-04-07
Veterans In Short-term Housing,166,single_adults,2022-04-07
Criminal Justice Short-term Housing,88,single_adults,2022-04-07
Single Adults,18337,combined_total_single_adults,2022-04-07
Total Individuals,47188,combined_total_shelter_census,2022-04-07
Children,14660,families_with_children,2022-04-06
Adults,11232,families_with_children,2022-04-06
Total Single Adults,16630,total_single_adults,2022-04-06
Individuals (Adults),2952,adult_families_census,2022-04-06
Safe Haven Utilization,1377,single_adults,2022-04-06
Drop-in Center Overnight Census,110,single_adults,2022-04-06
Faith Bed Census,21,single_adults,2022-04-06
Veterans In Short-term Housing,170,single_adults,2022-04-06
Criminal Justice Short-term Housing,90,single_adults,2022-04-06
Single Adults,18308,combined_total_single_adults,2022-04-06
Total Individuals,47152,combined_total_shelter_census,2022-04-06
Children,14636,families_with_children,2022-04-05
Adults,11207,families_with_children,2022-04-05
Total Single Adults,16584,total_single_adults,2022-04-05
Individuals (Adults),2925,adult_families_census,2022-04-05
Safe Haven Utilization,1372,single_adults,2022-04-05
Drop-in Center Overnight Census,171,single_adults,2022-04-05
Faith Bed Census,22,single_adults,2022-04-05
Veterans In Short-term Housing,170,single_adults,2022-04-05
Criminal Justice Short-term Housing,88,single_adults,2022-04-05
Single Adults,18319,combined_total_single_adults,2022-04-05
Total Individuals,47087,combined_total_shelter_census,2022-04-05
Children,14656,families_with_children,2022-04-04
Adults,11223,families_with_children,2022-04-04
Total Single Adults,16568,total_single_adults,2022-04-04
Individuals (Adults),2941,adult_families_census,2022-04-04
Safe Haven Utilization,1371,single_adults,2022-04-04
Drop-in Center Overnight Census,160,single_adults,2022-04-04
Faith Bed Census,29,single_adults,2022-04-04
Veterans In Short-term Housing,168,single_adults,2022-04-04
Criminal Justice Short-term Housing,89,single_adults,2022-04-04
Single Adults,18296,combined_total_single_adults,2022-04-04
Total Individuals,47116,combined_total_shelter_census,2022-04-04
Children,14637,families_with_children,2022-03-31
Adults,11182,families_with_children,2022-03-31
Total Single Adults,16570,total_single_adults,2022-03-31
Individuals (Adults),2929,adult_families_census,2022-03-31
Safe Haven Utilization,1284,single_adults,2022-03-31
Drop-in Center Overnight Census,153,single_adults,2022-03-31
Faith Bed Census,27,single_adults,2022-03-31
Veterans In Short-term Housing,177,single_adults,2022-03-31
Criminal Justice Short-term Housing,94,single_adults,2022-03-31
Single Adults,18211,combined_total_single_adults,2022-03-31
Total Individuals,46959,combined_total_shelter_census,2022-03-31
Children,14560,families_with_children,2022-03-30
Adults,11142,families_with_children,2022-03-30
Total Single Adults,16634,total_single_adults,2022-03-30
Individuals (Adults),2950,adult_families_census,2022-03-30
Safe Haven Utilization,1278,single_adults,2022-03-30
Drop-in Center Overnight Census,155,single_adults,2022-03-30
Faith Bed Census,28,single_adults,2022-03-30
Veterans In Short-term Housing,176,single_adults,2022-03-30
Criminal Justice Short-term Housing,92,single_adults,2022-03-30
Single Adults,18271,combined_total_single_adults,2022-03-30
Total Individuals,46923,combined_total_shelter_census,2022-03-30
Children,14525,families_with_children,2022-03-29
Adults,11113,families_with_children,2022-03-29
Total Single Adults,16695,total_single_adults,2022-03-29
Individuals (Adults),2907,adult_families_census,2022-03-29
Safe Haven Utilization,1346,single_adults,2022-03-29
Drop-in Center Overnight Census,180,single_adults,2022-03-29
Faith Bed Census,21,single_adults,2022-03-29
Veterans In Short-term Housing,182,single_adults,2022-03-29
Criminal Justice Short-term Housing,92,single_adults,2022-03-29
Single Adults,18424,combined_total_single_adults,2022-03-29
Total Individuals,46969,combined_total_shelter_census,2022-03-29
Children,14570,families_with_children,2022-03-28
Adults,11145,families_with_children,2022-03-28
Total Single Adults,16667,total_single_adults,2022-03-28
Individuals (Adults),2934,adult_families_census,2022-03-28
Safe Haven Utilization,1349,single_adults,2022-03-28
Drop-in Center Overnight Census,178,single_adults,2022-03-28
Faith Bed Census,30,single_adults,2022-03-28
Veterans In Short-term Housing,169,single_adults,2022-03-28
Criminal Justice Short-term Housing,93,single_adults,2022-03-28
Single Adults,18393,combined_total_single_adults,2022-03-28
Total Individuals,47042,combined_total_shelter_census,2022-03-28
Children,14565,families_with_children,2022-03-27
Adults,11134,families_with_children,2022-03-27
Total Single Adults,16560,total_single_adults,2022-03-27
Individuals (Adults),2917,adult_families_census,2022-03-27
Safe Haven Utilization,1346,single_adults,2022-03-27
Drop-in Center Overnight Census,177,single_adults,2022-03-27
Faith Bed Census,28,single_adults,2022-03-27
Veterans In Short-term Housing,173,single_adults,2022-03-27
Criminal Justice Short-term Housing,85,single_adults,2022-03-27
Single Adults,18284,combined_total_single_adults,2022-03-27
Total Individuals,46900,combined_total_shelter_census,2022-03-27
Children,14584,families_with_children,2022-03-23
Adults,11126,families_with_children,2022-03-23
Total Single Adults,16624,total_single_adults,2022-03-23
Individuals (Adults),2927,adult_families_census,2022-03-23
Safe Haven Utilization,1350,single_adults,2022-03-23
Drop-in Center Overnight Census,175,single_adults,2022-03-23
Faith Bed Census,33,single_adults,2022-03-23
Veterans In Short-term Housing,179,single_adults,2022-03-23
Criminal Justice Short-term Housing,89,single_adults,2022-03-23
Single Adults,18361,combined_total_single_adults,2022-03-23
Total Individuals,46998,combined_total_shelter_census,2022-03-23
Children,14586,families_with_children,2022-03-22
Adults,11121,families_with_children,2022-03-22
Total Single Adults,16566,total_single_adults,2022-03-22
Individuals (Adults),2945,adult_families_census,2022-03-22
Safe Haven Utilization,1353,single_adults,2022-03-22
Drop-in Center Overnight Census,154,single_adults,2022-03-22
Faith Bed Census,19,single_adults,2022-03-22
Veterans In Short-term Housing,173,single_adults,2022-03-22
Criminal Justice Short-term Housing,93,single_adults,2022-03-22
Single Adults,18265,combined_total_single_adults,2022-03-22
Total Individuals,46917,combined_total_shelter_census,2022-03-22
Children,14664,families_with_children,2022-03-21
Adults,11209,families_with_children,2022-03-21
Total Single Adults,16509,total_single_adults,2022-03-21
Individuals (Adults),2952,adult_families_census,2022-03-21
Safe Haven Utilization,1357,single_adults,2022-03-21
Drop-in Center Overnight Census,171,single_adults,2022-03-21
Faith Bed Census,25,single_adults,2022-03-21
Veterans In Short-term Housing,174,single_adults,2022-03-21
Criminal Justice Short-term Housing,89,single_adults,2022-03-21
Single Adults,18236,combined_total_single_adults,2022-03-21
Total Individuals,47061,combined_total_shelter_census,2022-03-21
Children,14668,families_with_children,2022-03-20
Adults,11212,families_with_children,2022-03-20
Total Single Adults,16501,total_single_adults,2022-03-20
Individuals (Adults),2919,adult_families_census,2022-03-20
Safe Haven Utilization,1356,single_adults,2022-03-20
Drop-in Center Overnight Census,166,single_adults,2022-03-20
Faith Bed Census,23,single_adults,2022-03-20
Veterans In Short-term Housing,176,single_adults,2022-03-20
Criminal Justice Short-term Housing,82,single_adults,2022-03-20
Single Adults,18222,combined_total_single_adults,2022-03-20
Total Individuals,47021,combined_total_shelter_census,2022-03-20
Children,14604,families_with_children,2022-03-17
Adults,11165,families_with_children,2022-03-17
Total Single Adults,16543,total_single_adults,2022-03-17
Individuals (Adults),2920,adult_families_census,2022-03-17
Safe Haven Utilization,1354,single_adults,2022-03-17
Drop-in Center Overnight Census,157,single_adults,2022-03-17
Faith Bed Census,23,single_adults,2022-03-17
Veterans In Short-term Housing,171,single_adults,2022-03-17
Criminal Justice Short-term Housing,93,single_adults,2022-03-17
Single Adults,18248,combined_total_single_adults,2022-03-17
Total Individuals,46937,combined_total_shelter_census,2022-03-17
Children,14561,families_with_children,2022-03-16
Adults,11149,families_with_children,2022-03-16
Total Single Adults,16510,total_single_adults,2022-03-16
Individuals (Adults),2916,adult_families_census,2022-03-16
Safe Haven Utilization,1357,single_adults,2022-03-16
Drop-in Center Overnight Census,161,single_adults,2022-03-16
Faith Bed Census,19,single_adults,2022-03-16
Veterans In Short-term Housing,172,single_adults,2022-03-16
Criminal Justice Short-term Housing,93,single_adults,2022-03-16
Single Adults,18219,combined_total_single_adults,2022-03-16
Total Individuals,46845,combined_total_shelter_census,2022-03-16
Children,14535,families_with_children,2022-03-15
Adults,11148,families_with_children,2022-03-15
Total Single Adults,16542,total_single_adults,2022-03-15
Individuals (Adults),2933,adult_families_census,2022-03-15
Safe Haven Utilization,1359,single_adults,2022-03-15
Drop-in Center Overnight Census,174,single_adults,2022-03-15
Faith Bed Census,20,single_adults,2022-03-15
Veterans In Short-term Housing,172,single_adults,2022-03-15
Criminal Justice Short-term Housing,94,single_adults,2022-03-15
Single Adults,18267,combined_total_single_adults,2022-03-15
Total Individuals,46883,combined_total_shelter_census,2022-03-15
Children,14544,families_with_children,2022-03-14
Adults,11158,families_with_children,2022-03-14
Total Single Adults,16633,total_single_adults,2022-03-14
Individuals (Adults),2974,adult_families_census,2022-03-14
Safe Haven Utilization,1354,single_adults,2022-03-14
Drop-in Center Overnight Census,167,single_adults,2022-03-14
Faith Bed Census,22,single_adults,2022-03-14
Veterans In Short-term Housing,165,single_adults,2022-03-14
Criminal Justice Short-term Housing,93,single_adults,2022-03-14
Single Adults,18341,combined_total_single_adults,2022-03-14
Total Individuals,47017,combined_total_shelter_census,2022-03-14
Children,14546,families_with_children,2022-03-13
Adults,11159,families_with_children,2022-03-13
Total Single Adults,16585,total_single_adults,2022-03-13
Individuals (Adults),2971,adult_families_census,2022-03-13
Safe Haven Utilization,1352,single_adults,2022-03-13
Drop-in Center Overnight Census,128,single_adults,2022-03-13
Faith Bed Census,25,single_adults,2022-03-13
Veterans In Short-term Housing,171,single_adults,2022-03-13
Criminal Justice Short-term Housing,89,single_adults,2022-03-13
Single Adults,18261,combined_total_single_adults,2022-03-13
Total Individuals,46937,combined_total_shelter_census,2022-03-13
Children,14500,families_with_children,2022-03-10
Adults,11103,families_with_children,2022-03-10
Total Single Adults,16603,total_single_adults,2022-03-10
Individuals (Adults),2975,adult_families_census,2022-03-10
Safe Haven Utilization,1344,single_adults,2022-03-10
Drop-in Center Overnight Census,169,single_adults,2022-03-10
Faith Bed Census,23,single_adults,2022-03-10
Veterans In Short-term Housing,171,single_adults,2022-03-10
Criminal Justice Short-term Housing,97,single_adults,2022-03-10
Single Adults,18310,combined_total_single_adults,2022-03-10
Total Individuals,46888,combined_total_shelter_census,2022-03-10
Children,14533,families_with_children,2022-03-09
Adults,11110,families_with_children,2022-03-09
Total Single Adults,16716,total_single_adults,2022-03-09
Individuals (Adults),2976,adult_families_census,2022-03-09
Safe Haven Utilization,1346,single_adults,2022-03-09
Drop-in Center Overnight Census,179,single_adults,2022-03-09
Faith Bed Census,20,single_adults,2022-03-09
Veterans In Short-term Housing,171,single_adults,2022-03-09
Criminal Justice Short-term Housing,97,single_adults,2022-03-09
Single Adults,18432,combined_total_single_adults,2022-03-09
Total Individuals,47051,combined_total_shelter_census,2022-03-09
Children,14511,families_with_children,2022-03-08
Adults,11104,families_with_children,2022-03-08
Total Single Adults,16620,total_single_adults,2022-03-08
Individuals (Adults),2978,adult_families_census,2022-03-08
Safe Haven Utilization,1344,single_adults,2022-03-08
Drop-in Center Overnight Census,140,single_adults,2022-03-08
Faith Bed Census,18,single_adults,2022-03-08
Veterans In Short-term Housing,168,single_adults,2022-03-08
Criminal Justice Short-term Housing,94,single_adults,2022-03-08
Single Adults,18290,combined_total_single_adults,2022-03-08
Total Individuals,46883,combined_total_shelter_census,2022-03-08
Children,14576,families_with_children,2022-03-07
Adults,11125,families_with_children,2022-03-07
Total Single Adults,16589,total_single_adults,2022-03-07
Individuals (Adults),3001,adult_families_census,2022-03-07
Safe Haven Utilization,1346,single_adults,2022-03-07
Drop-in Center Overnight Census,178,single_adults,2022-03-07
Faith Bed Census,20,single_adults,2022-03-07
Veterans In Short-term Housing,173,single_adults,2022-03-07
Criminal Justice Short-term Housing,95,single_adults,2022-03-07
Single Adults,18306,combined_total_single_adults,2022-03-07
Total Individuals,47008,combined_total_shelter_census,2022-03-07
Children,14628,families_with_children,2022-03-06
Adults,11178,families_with_children,2022-03-06
Total Single Adults,16443,total_single_adults,2022-03-06
Individuals (Adults),2950,adult_families_census,2022-03-06
Safe Haven Utilization,1349,single_adults,2022-03-06
Drop-in Center Overnight Census,160,single_adults,2022-03-06
Faith Bed Census,25,single_adults,2022-03-06
Veterans In Short-term Housing,166,single_adults,2022-03-06
Criminal Justice Short-term Housing,93,single_adults,2022-03-06
Single Adults,18143,combined_total_single_adults,2022-03-06
Total Individuals,46899,combined_total_shelter_census,2022-03-06
Children,14601,families_with_children,2022-03-03
Adults,11152,families_with_children,2022-03-03
Total Single Adults,16561,total_single_adults,2022-03-03
Individuals (Adults),2962,adult_families_census,2022-03-03
Safe Haven Utilization,1353,single_adults,2022-03-03
Drop-in Center Overnight Census,163,single_adults,2022-03-03
Faith Bed Census,20,single_adults,2022-03-03
Veterans In Short-term Housing,167,single_adults,2022-03-03
Criminal Justice Short-term Housing,97,single_adults,2022-03-03
Single Adults,18264,combined_total_single_adults,2022-03-03
Total Individuals,46979,combined_total_shelter_census,2022-03-03
Children,14563,families_with_children,2022-03-01
Adults,11123,families_with_children,2022-03-01
Total Single Adults,16621,total_single_adults,2022-03-01
Individuals (Adults),2982,adult_families_census,2022-03-01
Safe Haven Utilization,1338,single_adults,2022-03-01
Drop-in Center Overnight Census,181,single_adults,2022-03-01
Faith Bed Census,22,single_adults,2022-03-01
Veterans In Short-term Housing,167,single_adults,2022-03-01
Criminal Justice Short-term Housing,98,single_adults,2022-03-01
Single Adults,18329,combined_total_single_adults,2022-03-01
Total Individuals,46997,combined_total_shelter_census,2022-03-01
Children,14560,families_with_children,2022-02-28
Adults,11122,families_with_children,2022-02-28
Total Single Adults,16693,total_single_adults,2022-02-28
Individuals (Adults),3001,adult_families_census,2022-02-28
Safe Haven Utilization,1338,single_adults,2022-02-28
Drop-in Center Overnight Census,142,single_adults,2022-02-28
Faith Bed Census,0,single_adults,2022-02-28
Veterans In Short-term Housing,170,single_adults,2022-02-28
Criminal Justice Short-term Housing,94,single_adults,2022-02-28
Single Adults,18343,combined_total_single_adults,2022-02-28
Total Individuals,47026,combined_total_shelter_census,2022-02-28
Children,14470,families_with_children,2022-02-24
Adults,11080,families_with_children,2022-02-24
Total Single Adults,16695,total_single_adults,2022-02-24
Individuals (Adults),2980,adult_families_census,2022-02-24
Safe Haven Utilization,1339,single_adults,2022-02-24
Drop-in Center Overnight Census,156,single_adults,2022-02-24
Faith Bed Census,19,single_adults,2022-02-24
Veterans In Short-term Housing,172,single_adults,2022-02-24
Criminal Justice Short-term Housing,97,single_adults,2022-02-24
Single Adults,18381,combined_total_single_adults,2022-02-24
Total Individuals,46911,combined_total_shelter_census,2022-02-24
Children,14476,families_with_children,2022-02-23
Adults,11075,families_with_children,2022-02-23
Total Single Adults,16699,total_single_adults,2022-02-23
Individuals (Adults),3003,adult_families_census,2022-02-23
Safe Haven Utilization,1330,single_adults,2022-02-23
Drop-in Center Overnight Census,113,single_adults,2022-02-23
Faith Bed Census,19,single_adults,2022-02-23
Veterans In Short-term Housing,175,single_adults,2022-02-23
Criminal Justice Short-term Housing,91,single_adults,2022-02-23
Single Adults,18336,combined_total_single_adults,2022-02-23
Total Individuals,46890,combined_total_shelter_census,2022-02-23
Children,14507,families_with_children,2022-02-22
Adults,11101,families_with_children,2022-02-22
Total Single Adults,16702,total_single_adults,2022-02-22
Individuals (Adults),3016,adult_families_census,2022-02-22
Safe Haven Utilization,1338,single_adults,2022-02-22
Drop-in Center Overnight Census,161,single_adults,2022-02-22
Faith Bed Census,24,single_adults,2022-02-22
Veterans In Short-term Housing,172,single_adults,2022-02-22
Criminal Justice Short-term Housing,94,single_adults,2022-02-22
Single Adults,18397,combined_total_single_adults,2022-02-22
Total Individuals,47021,combined_total_shelter_census,2022-02-22
Children,14531,families_with_children,2022-02-21
Adults,11101,families_with_children,2022-02-21
Total Single Adults,16684,total_single_adults,2022-02-21
Individuals (Adults),3008,adult_families_census,2022-02-21
Safe Haven Utilization,1331,single_adults,2022-02-21
Drop-in Center Overnight Census,140,single_adults,2022-02-21
Faith Bed Census,26,single_adults,2022-02-21
Veterans In Short-term Housing,169,single_adults,2022-02-21
Criminal Justice Short-term Housing,86,single_adults,2022-02-21
Single Adults,18350,combined_total_single_adults,2022-02-21
Total Individuals,46990,combined_total_shelter_census,2022-02-21
Children,14518,families_with_children,2022-02-17
Adults,11091,families_with_children,2022-02-17
Total Single Adults,16619,total_single_adults,2022-02-17
Individuals (Adults),2996,adult_families_census,2022-02-17
Safe Haven Utilization,1325,single_adults,2022-02-17
Drop-in Center Overnight Census,160,single_adults,2022-02-17
Faith Bed Census,23,single_adults,2022-02-17
Veterans In Short-term Housing,182,single_adults,2022-02-17
Criminal Justice Short-term Housing,98,single_adults,2022-02-17
Single Adults,18309,combined_total_single_adults,2022-02-17
Total Individuals,46914,combined_total_shelter_census,2022-02-17
Children,14462,families_with_children,2022-02-16
Adults,11055,families_with_children,2022-02-16
Total Single Adults,16662,total_single_adults,2022-02-16
Individuals (Adults),3005,adult_families_census,2022-02-16
Safe Haven Utilization,1323,single_adults,2022-02-16
Drop-in Center Overnight Census,157,single_adults,2022-02-16
Faith Bed Census,22,single_adults,2022-02-16
Veterans In Short-term Housing,181,single_adults,2022-02-16
Criminal Justice Short-term Housing,98,single_adults,2022-02-16
Single Adults,18345,combined_total_single_adults,2022-02-16
Total Individuals,46867,combined_total_shelter_census,2022-02-16
Children,14429,families_with_children,2022-02-15
Adults,11025,families_with_children,2022-02-15
Total Single Adults,16674,total_single_adults,2022-02-15
Individuals (Adults),3019,adult_families_census,2022-02-15
Safe Haven Utilization,1324,single_adults,2022-02-15
Drop-in Center Overnight Census,172,single_adults,2022-02-15
Faith Bed Census,31,single_adults,2022-02-15
Veterans In Short-term Housing,182,single_adults,2022-02-15
Criminal Justice Short-term Housing,96,single_adults,2022-02-15
Single Adults,18383,combined_total_single_adults,2022-02-15
Total Individuals,46856,combined_total_shelter_census,2022-02-15
Children,14521,families_with_children,2022-02-14
Adults,11095,families_with_children,2022-02-14
Total Single Adults,16628,total_single_adults,2022-02-14
Individuals (Adults),3051,adult_families_census,2022-02-14
