facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
Section 8 voucher housing- HPD- project-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,DHS,12_2023,2023-11-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DHS,12_2023,2023-11-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,12_2023,2023-11-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,12_2023,2023-11-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,12_2023,2023-11-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,12_2023,2023-11-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- project-based,DHS,12_2023,2023-11-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- project-based,DHS,12_2023,2023-11-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- project-based,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- project-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,DHS,12_2023,2023-11-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DHS,12_2023,2023-11-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DHS,12_2023,2023-10-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Settings with higher levels of medical care- inpatient hospitalization,DHS,12_2023,2023-11-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DHS,12_2023,2023-11-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DHS,12_2023,2023-10-01,total_single_adults,38,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DHS,12_2023,2023-11-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DHS,12_2023,2023-11-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DHS,12_2023,2023-10-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DHS,12_2023,2023-11-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DHS,12_2023,2023-11-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DHS,12_2023,2023-10-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DHS,12_2023,2023-11-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DHS,12_2023,2023-11-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DHS,12_2023,2023-10-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,DHS,12_2023,2023-11-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,DHS,12_2023,2023-11-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,DHS,12_2023,2023-10-01,total_single_adults,147,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,12_2023,2023-11-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,12_2023,2023-11-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States department of housing and urban development or HRA",DHS,12_2023,2023-10-01,total_single_adults,NA,Transitional housing,Other,NA
Unknown or unable to validate,DHS,12_2023,2023-11-01,families_with_children,314,Unknown,Unknown,NA
Unknown or unable to validate,DHS,12_2023,2023-11-01,adult_families,29,Unknown,Unknown,NA
Unknown or unable to validate,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,DHS,12_2023,2023-10-01,total_single_adults,2525,Unknown,Unknown,NA
NYCHA,DHS,12_2023,2023-11-01,families_with_children,32,NYCHA,Permanent Housing,NA
NYCHA,DHS,12_2023,2023-11-01,adult_families,0,NYCHA,Permanent Housing,NA
NYCHA,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing,NA
NYCHA,DHS,12_2023,2023-10-01,total_single_adults,0,NYCHA,Permanent Housing,NA
Section 8,DHS,12_2023,2023-11-01,families_with_children,13,Section 8,Permanent Housing,Is this a total?
Section 8,DHS,12_2023,2023-11-01,adult_families,0,Section 8,Permanent Housing,Is this a total?
Section 8,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Is this a total?
Section 8,DHS,12_2023,2023-10-01,total_single_adults,93,Section 8,Permanent Housing,Is this a total?
Other,DHS,12_2023,2023-11-01,families_with_children,91,Other,Other,NA
Other,DHS,12_2023,2023-11-01,adult_families,0,Other,Other,NA
Other,DHS,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Other,Other,NA
Other,DHS,12_2023,2023-10-01,total_single_adults,593,Other,Other,NA
A private rental market apartment with no rental subsidy,HPD,12_2023,2023-12-01,families_with_children,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HPD,12_2023,2023-12-01,adult_families,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HPD,12_2023,2023-12-01,total_single_adults,NA,Private market,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,12_2023,2023-12-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,12_2023,2023-12-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HPD,12_2023,2023-12-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HPD,12_2023,2023-12-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HPD,12_2023,2023-12-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HPD,12_2023,2023-12-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HPD,12_2023,2023-12-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HPD,12_2023,2023-12-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HPD,12_2023,2023-12-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Housing of friends or family,HPD,12_2023,2023-12-01,families_with_children,0,Family or friends,Permanent Housing,NA
Housing of friends or family,HPD,12_2023,2023-12-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,HPD,12_2023,2023-12-01,total_single_adults,0,Family or friends,Permanent Housing,NA
Moved back to vacated building,HPD,12_2023,2023-12-01,families_with_children,0,Other,Other,NA
Moved back to vacated building,HPD,12_2023,2023-12-01,adult_families,0,Other,Other,NA
Moved back to vacated building,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,HPD,12_2023,2023-12-01,total_single_adults,0,Other,Other,NA
Other affordable housing- 421-a affordable housing,HPD,12_2023,2023-12-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HPD,12_2023,2023-12-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HPD,12_2023,2023-12-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HPD,12_2023,2023-12-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HPD,12_2023,2023-12-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HPD,12_2023,2023-12-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HPD,12_2023,2023-12-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HPD,12_2023,2023-12-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HPD,12_2023,2023-12-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HPD,12_2023,2023-12-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HPD,12_2023,2023-12-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HPD,12_2023,2023-12-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,12_2023,2023-12-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,12_2023,2023-12-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HPD,12_2023,2023-12-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,12_2023,2023-12-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,12_2023,2023-12-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HPD,12_2023,2023-12-01,total_single_adults,NA,Voucher,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,12_2023,2023-12-01,families_with_children,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,12_2023,2023-12-01,adult_families,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HPD,12_2023,2023-12-01,total_single_adults,NA,Voucher,Permanent Housing,Is this a total?
Rapid re-housing funded by the United States department of housing and urban development,HPD,12_2023,2023-12-01,families_with_children,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HPD,12_2023,2023-12-01,adult_families,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HPD,12_2023,2023-12-01,total_single_adults,NA,Rapid re-housing,Other,NA
Residential drug treatment and detoxification,HPD,12_2023,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HPD,12_2023,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HPD,12_2023,2023-12-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Section 8 voucher housing- HPD- project-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,HPD,12_2023,2023-12-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,12_2023,2023-12-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,12_2023,2023-12-01,total_single_adults,NA,Section 8,Permanent Housing,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,12_2023,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,12_2023,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,12_2023,2023-12-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,12_2023,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,12_2023,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,12_2023,2023-12-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,12_2023,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,12_2023,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,12_2023,2023-12-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,12_2023,2023-12-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,12_2023,2023-12-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,12_2023,2023-12-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,HPD,12_2023,2023-12-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,12_2023,2023-12-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,12_2023,2023-12-01,total_single_adults,0,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,12_2023,2023-12-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,12_2023,2023-12-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,12_2023,2023-12-01,total_single_adults,NA,Transitional housing,Other,NA
Unknown or unable to validate,HPD,12_2023,2023-12-01,families_with_children,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,12_2023,2023-12-01,adult_families,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HPD,12_2023,2023-12-01,total_single_adults,10,Unknown,Unknown,NA
A private rental market apartment with no rental subsidy,HRA,12_2023,2023-12-01,families_with_children,22,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,12_2023,2023-12-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,12_2023,2023-12-01,total_single_adults,0,Private market,Permanent Housing,NA
Housing of friends or family,HRA,12_2023,2023-12-01,families_with_children,19,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,12_2023,2023-12-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,12_2023,2023-12-01,total_single_adults,16,Family or friends,Permanent Housing,NA
NYCHA,HRA,12_2023,2023-12-01,families_with_children,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,12_2023,2023-12-01,adult_families,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing,NA
NYCHA,HRA,12_2023,2023-12-01,total_single_adults,0,NYCHA,Permanent Housing,NA
Other,HRA,12_2023,2023-12-01,families_with_children,0,Other,Other,NA
Other,HRA,12_2023,2023-12-01,adult_families,0,Other,Other,NA
Other,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Other,Other,NA
Other,HRA,12_2023,2023-12-01,total_single_adults,10,Other,Other,NA
Other affordable housing- other housing,HRA,12_2023,2023-12-01,families_with_children,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,12_2023,2023-12-01,adult_families,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,12_2023,2023-12-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,12_2023,2023-12-01,families_with_children,14,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,12_2023,2023-12-01,adult_families,0,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,12_2023,2023-12-01,total_single_adults,107,Voucher,Permanent Housing,Is this a total?
Residential drug treatment and detoxification,HRA,12_2023,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,12_2023,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,12_2023,2023-12-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Section 8,HRA,12_2023,2023-12-01,families_with_children,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,12_2023,2023-12-01,adult_families,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,12_2023,2023-12-01,total_single_adults,0,Section 8,Permanent Housing,Is this a total?
Settings with higher levels of medical care- inpatient hospitalization,HRA,12_2023,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,12_2023,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,12_2023,2023-12-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,12_2023,2023-12-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,12_2023,2023-12-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,12_2023,2023-12-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Supportive housing,HRA,12_2023,2023-12-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,12_2023,2023-12-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,12_2023,2023-12-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,12_2023,2023-12-01,total_single_adults,29,Supportive housing,Permanent Housing,NA
Unknown or unable to validate,HRA,12_2023,2023-12-01,families_with_children,93,Unknown,Unknown,NA
